invoice_number,invoice_date,order_date,order_type,order_quantity,shipped_quantity,sales_amount,unit_price,customer_id,customer_location,customer_department,customer_province,item_id,item_description,item_department,item_section,item_group,warehouse_number,warehouse_name,warehouse_region_name,vendor_number,vendor_name,supplier_id,supplier_name
6735217,2017-11-29,2017-11-28,REGULAR,6,6,3.36,0.56,410,10,9,TEXAS,428714,600890 1-1/2 IN 45 DEG ELB(027241) ,40,12,170,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6165708,2019-06-26,2019-06-24,REGULAR,3,3,12.0,4.0,1375,1,83,ARIZONA,408872,ABS COUPLER REDUCER 4 X 3-IN       ,40,12,160,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6517073,2018-09-10,2018-09-08,REGULAR,4,4,7.16,1.79,2196,1,70,CALIFORNIA,354274,ABS TRAP ADAPTER MPT 1-1/2X1-1/4   ,40,12,120,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6723693,2020-05-13,2020-05-09,REGULAR,4,4,19.6,4.9,1934,50,70,ARIZONA,222679,ABS CLEANOUT ADAPTER 3-IN          ,40,12,120,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6766514,2019-01-28,2019-01-25,REGULAR,6,6,62.58,10.43,75379,201,0,TEXAS,431999,ABS ELBOW STREET 90 DEGREE 4-IN    ,40,12,180,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6950683,2019-05-01,2019-04-29,REGULAR,6,6,9.42,1.57,1709,44,70,TEXAS,431155,ABS THREADED PLUG WITH GASKET 3-IN ,40,12,150,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6519529,2018-09-12,2018-09-10,REGULAR,1,0,0.0,0.0,3225,1,0,ARIZONA,313825,ABS TEE LEFT SIDE INLET 3 X 1 1/2-I,40,12,220,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6375048,2018-06-27,2018-06-26,REGULAR,2,2,9.02,4.51,1891,1,23,TEXAS,408773,ABS COUPLER REDUCER 4 X 2-IN       ,40,12,160,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6678089,2020-04-06,2020-04-03,REGULAR,20,20,13.4,0.67,2438,9,70,TEXAS,429696,ABS BUSHING 2 X 1-1/2-IN           ,40,12,140,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6751519,2020-05-28,2020-05-26,REGULAR,4,4,15.28,3.82,2749,4,20,TEXAS,463927,ABS ELBOW 22-1/2 DEGREE 3-IN       ,40,12,170,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6716246,2020-05-03,2020-04-29,REGULAR,7,7,4.76,0.68,1307,6,81,TEXAS,428052,ABS ELBOW 90 DEGREE 1 1/2-IN       ,40,12,170,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6334791,2019-09-23,2019-09-20,REGULAR,1,1,3.77,3.77,75522,1,0,TEXAS,431973,ABS P-TRAP WITH CLEANOUT 1 1/2-IN  ,40,12,210,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
6398819,2019-10-28,2019-10-25,REGULAR,11,11,10.45,0.95,2214,1,70,ARIZONA,5229190,PEX POLYALLOY ELBOW 90 DEGREE 3/4IN,40,12,330,901,FLORIDA HABS WAREHOUSE,FLORIDA,1004,BOW PLUMBING GROUP INC.,98832975,BRANDS GLOBAL CO.
5772139,2018-06-25,2018-06-19,REGULAR,1,1,20.06,20.06,2579,1,0,FLORIDA,592519,CENTSIBLES SLICED BOLOGNA          ,30,50,84,903,OHIO FOOD WAREHOUSE,OHIO,101,MAPLE LEAF CONSUMER FOODS,98832971,THE GROCERY GROUP
5236224,2019-10-22,2019-10-21,REGULAR,2,2,58.36,29.18,16139,2,0,ARIZONA,127894,C.C PIZZA CRUST FLAT 14IN P/B FZ   ,30,51,600,903,OHIO FOOD WAREHOUSE,OHIO,1011,CRUST CRAFT INC.,98832971,THE GROCERY GROUP
3281668,2020-08-12,2020-08-10,REGULAR,1,0,0.0,0.0,16262,1,0,TEXAS,2473791,++LYS WIPES CITRUS 3X80CT  VP      ,30,41,113,904,TEXAS FOOD WAREHOUSE,TEXAS,1018,RECKITT BENCKISER,98832971,THE GROCERY GROUP
3269292,2020-07-27,2020-07-25,REGULAR,1,1,42.66,42.66,2015,1,9,TEXAS,171959,AIRWICK SO VAN PASS TWIN  REFILL   ,30,37,215,904,TEXAS FOOD WAREHOUSE,TEXAS,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
5432495,2020-07-18,2020-07-18,REGULAR,1,0,0.0,0.0,2142,5,62,ARIZONA,6265748,LYSOL TOILET BOWL CLEANER 2PK      ,30,41,431,903,OHIO FOOD WAREHOUSE,OHIO,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
1630931,2018-10-12,2018-10-11,REGULAR,1,1,79.83,79.83,185,1,9,CALIFORNIA,703744,FINISH JET-DRY ORIGINAL            ,30,40,300,905,MISSOURI FOOD WAREHOUSE,MISSOURI,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
5267415,2019-12-06,2019-12-05,REGULAR,1,1,26.6,26.6,2312,3,62,ARIZONA,947473,LYSOL WIPES 80CT SPRING   WTRFALL  ,30,41,113,903,OHIO FOOD WAREHOUSE,OHIO,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
1899362,2020-05-28,2020-05-28,REGULAR,1,0,0.0,0.0,2144,48,62,CALIFORNIA,947473,LYSOL WIPES 80CT SPRING   WTRFALL  ,30,41,113,905,MISSOURI FOOD WAREHOUSE,MISSOURI,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
6468572,2019-12-02,2019-12-02,REGULAR,1,1,17.82,17.82,387,20,62,ARIZONA,2473791,LYSOL WIPES CITRUS 3X80CT  VP      ,30,41,113,902,FLORIDA FOOD WAREHOUSE,FLORIDA,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
3264817,2020-07-17,2020-07-16,REGULAR,1,0,0.0,0.0,2438,33,62,TEXAS,911156,FINISH QUANTUM                     ,30,40,100,904,TEXAS FOOD WAREHOUSE,TEXAS,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
1862976,2020-03-18,2020-03-17,REGULAR,1,0,0.0,0.0,2305,1,62,CALIFORNIA,573410,LYSOL ALL PURP LMN CLEANR 4IN1     ,30,41,102,905,MISSOURI FOOD WAREHOUSE,MISSOURI,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
5938847,2019-02-22,2019-02-21,REGULAR,1,1,25.09,25.09,1984,1,0,ARIZONA,841296,LYSOL ACT GEL BWL WTRFALL  CLEANER ,30,41,431,903,OHIO FOOD WAREHOUSE,OHIO,1018,RECKITT BENCKISER,98832971,THE GROCERY GROUP
1878031,2020-04-16,2020-04-16,REGULAR,1,1,32.28,32.28,1775,31,62,CALIFORNIA,947465,LYSOL WIPES CITRUS 80CT            ,30,41,113,905,MISSOURI FOOD WAREHOUSE,MISSOURI,1018,RECKITT BENCKISER,98832975,BRANDS GLOBAL CO.
